debate,character,text
2B,Kamala Harris, Who will not be called in and who will not be taken to task by Senator Biden or Senator Bennet's plan ...
2B,Kamala Harris, We will do that.
2B,Tapper," Senator Bennet, I want to bring you back."
2B,Michael Bennet," Senator Harris is my friend as well, but I have to say if we can't admit -- if we can't admit tonight what's in the plan, which is banning employer based insurance, we're not going to be able to admit that when Donald Trump is accusing democrats of doing that as well."
2B,Michael Bennet,We need to be honest about what's in this plan. It bans employer based insurance and taxes the middle class to the tune of $30 trillion. Do you know how much that is? That is 70 percent of what the government will collect in taxes over the next 10 years.
2B,Michael Bennet, We don't need to do that.
2B,Michael Bennet,(CROSSTALK)
2B,Michael Bennet,We can have a public option to have universal healthcare in this country.
2B,Tapper, I do want to bring in Senator Harris because he just suggested you were not being honest.
2B,Kamala Harris," He -- we cannot keep with the republican talking points on this. You got to stop. The reality is that - what -- under my Medicare for All plan, yes, employers are not going to be able to dictate the kind of healthcare that their employees get. They will be able to make that decision."
2B,Kamala Harris,"Private insurance companies and private carriers, if they comply by our rules and play by our rules, will be able to offer those employees healthcare coverage under a private Medicare plan or they can have the option of a public Medicare plan. But it is misleading to suggest that employees want what their employer is offering only. They want choice and my plan gives that to them."
2B,Tapper," Thank. Thank you, Senator. Governor Inslee, I want to bring you in. You recently signed a public option into law, which allows Washington State residents to purchase a state backed plan if they want to."
2B,Tapper,But this may only save families in Washington State as little as 5 percent off premiums. Is 5 percent really the kind of relief that the American people need?
2B,Jay Inslee," No, we need universal coverage. And I'm proud of our state that has done less squabbling and actually getting things done. And I am proud that we are the first state to offer a publically sanctioned offer of healthcare to our citizens."
2B,Jay Inslee,"I'm also proud that we didn't stop there. We're also the first state that has taken care of our elders, our seniors. We have a looming retirement wave coming up. I'm proud that our state -- our state has made them eligible to retire in dignity."
2B,Jay Inslee,"I'm also proud of this and I think we need to talk more about this as democrats, it is time to give people adequate mental healthcare in this country. And we are -- we are ..."
2B,Jay Inslee,We are having -- we've had some success in integrating mental health with physical health. There's no reason we should distinguish between your physiological and your mental health.
2B,Jay Inslee,"And the last thing we're doing, I think it's very instructive for the nation. We know we're being eaten alive by pharmaceutical cost. We have had one of, if not the most, innovative way to drive down pharmaceuticals for life saving medications in the United States."
2B,Jay Inslee,"We have had one of, if not the most innovative way to drive down pharmaceuticals for life-saving medications in the United States. That's a record of Washington state I'd like to take to Washington, D.C."
2B,Tapper," Thank you. Thank you, Governor Inslee."
2B,Tapper,"Mr. Yang, I want to bring you in. You support a Medicare for All system. How do you respond to Governor Inslee?"
2B,Andrew Yang," Well, I just want to share a story. When I told my wife I was running for president, you know the first question she asked me? What are we going to do about our health care?"
2B,Andrew Yang,"That's a true story, and it's not just us. Democrats are talking about health care in the wrong way. As someone who's run a business, I can tell you flat out our current health care system makes it harder to hire, it makes it harder to treat people well and give them benefits and treat them as full-time employees, it makes it harder to switch jobs, as Senator Harris just said, and it's certainly a lot harder to start a business."
2B,Andrew Yang,"If we say, look, we're going to get health care off the backs of businesses and families, then watch American entrepreneurship recover and bloom. That's the argument we should be making to the American people."
